&,dan
1pun,satupun
7an,tujuan
@,di
dr,dokter
jkt,jakarta
jkw,jokowi
nasihat,nasehat
ababil,abg labil
abis,habis
adl,adalah
adlah,adalah
adlh,adalah
administ,administrasi
adoh,aduh
afaik,as far as i know
agma,agama
ahaha,haha
ahiok,ahok
ahoax,ahok
ahokncc,ahok
aing,saya
aj,saja
aja,saja
ajak2,ajak-ajak
ajep-ajep,dunia gemerlap
ak,aku
aka,atau
akherat,akhirat
akhirx,akhirnya
akika,aku
akko,aku
akkoh,aku
akku,aku
akn,akan
aktifis2,aktivis-aktivis
aktivi,aktivis
aktivis2,aktivis-aktivis
akun2,akun-akun
akuwh,aku
akyu,aku
alay,norak
alih2,alih-alih
alow,halo
ama,sama
ambilin,ambilkan
ambl,ambil
amerik,amerika
anak2,anak-anak
analisise,analisis
ancur,hancur
anjay,anjing
anjir,anjing
anjrit,anjing
ank,anak
anter,antar
apaan,apa
apasih,apa sih
ape,apa
apes,sial
aplot,unggah
aq,saya
aqu,aku
aquwh,aku
asbun,asal bunyi
aseek,asyik
aseekk,asyik
asek,asyik
asekk,asyik
asekk,asyik
aseknya,asyiknya
asem,asam
asoy,asyik
astrojim,astagfirullahaladzim
astul,asal tulis
ath,kalau begitu
ato,atau
ats,atas
au ah,tidak mau tahu
awak,saya
ayang,sayang
ayank,sayang
ayat2,ayat-ayat
ayok,ayo
b2,berdua
b4,sebelum
bajir,banjir
bakalan,akan
bales,balas
bandes,bantuan desa
bangdes,pembangunan desa
bangedh,sangat
bangkotan,tua
banpol,bantuan polisi
banpres,bantuan presiden
banpur,bantuan tempur
bansarkas,bantuan sarana kesehatan
baper,bawa perasaan
basbang,basi
bbrp,beberapa
bcanda,bercanda
bcoz,karena
bdaya,budaya
bdg,bandung
bdk,budak
beb,sayang
bebal,bodoh
bedakin,bedak
begajulan,nakal
bejibun,banyak
beliin,belikan
belom,belum
bencong,banci
bener,benar
bener2,benar-benar
bentar,sebentar
ber2,berdua
ber3,bertiga
beresin,membereskan
berhenti2,berhenti berhenti
bet,banget
bete,bosan
beti,beda tipis
beud,banget
beut,banget
bg,abang
bgm,bagaimana
bgmn,bagaimana
bgs,bagus
bgst,bangsat
bgtu,begitu
bhkan,bahkan
bhw,bahwa
bhy,bahaya
bijimane,bagaimana
bilanh,bilang
bkannya,bukannya
bkl,akan
bkn,bukan
bknnya,bukannya
blas,balas
blegug,bodoh
blg,bilang
blh,boleh
blm,belum
bln,bulan
bls,balas
blum,belum
bngung,bingung
bntr,sebentar
bnyk,banyak
bodor,lucu
bokap,ayah
bokep,porno
boker,buang air besar
bokin,pacar
bokis,bohong
bole,boleh
boljug,boleh juga
bolot,bodoh
bonek,bocah nekat
bonyok,ayah ibu
boyeh,boleh
bpk,bapak
brb,segera kembali
brg,bareng
brhadapan,berhadapan
brngkt,berangkat
brp,berapa
brsdia,bersedia
bru,baru
bs,bisa
bsa,bisa
bsen,bosan
bsk,besok
bsr,besar
btol,botol
buangbuang,buang
bubarin,bubarkan
bubu,tidur
bujubune,luar biasa
bujubuneng,luar biasa
bumil,ibu hamil
bunuh2an,bunuh-bunuhan
buzzerbuzzer,buzzer
bw,bawa
bwhn,bawahan
bwt,buat
byar,bayar
byk,banyak
byr,bayar
byrin,bayarkan
c8,chat
cabut,pergi
cadas,keren
caem,cakep
cakap,berbicara
cama-cama,sama-sama
cangcut,celana dalam
capcus,pergi
cape,capek
capek,lelah
caper,cari perhatian
capresss,capres
caur,jelek
cayalah,percaya
cb,coba
ce,cewek
cekak,tidak ada uang
cekal,cegah tangkal
cepat2,cepat-cepat
cepet,cepat
cewe,cewek
chuyunk,sayang
cibuk,sibuk
cimeng,ganja
cin,cinta
ckepp,cakep
ckp,cukup
cm,cuma
co,cowok
congor,mulut
cowwyy,maaf
coz,karena
cr,cara
crny,caranya
cth,contoh
cucok,cocok
cuex,cuek
cuman,cuma
cwek,cewek
cwo,cowo
cwok,cowok
cyin,cinta
sllu,selalu
yg,yang
des,desember
nov,november
